Title,Condition,Buy Price,Author,Publisher,ISBN
Coal Miner's Daughter,Good,6.09,Loretta Lynn,Grand Central Publishing,1538701715
Over the Top: A Raw Journey to Self-Love,Very Good,5.29,Jonathan Van Ness,HarperOne,0062906372
The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,Good,5.99,Denise Kiernan,Atria Books,1451617534
The Right Stuff,Good,4.89,Tom Wolfe,Picador USA,0312427565
Freedom Train: The Story of Harriet Tubman,Good,4.99,Dorothy Sterling,Scholastic Paperbacks,0590436287
Two Years Before the Mast,Good,5.59,Richard Henry Dana Jr.,Penguin Publishing Group,0140390081
A Rumor of War,Good,6.69,Philip Caputo,Picador USA,1250117127
Pilgrim at Tinker Creek,Good,5.49,Annie Dillard,Harper Perennial Modern Classics,0061233323
"Titan: The Life of John D. Rockefeller, Sr.",Good,9.49,Ron Chernow,Vintage,1400077303
The Water is Wide,Good,4.79,Pat Conroy,Random House Publishing Group,0553381571
Life on the Mississippi,Good,4.29,Mark Twain,Signet Book,0451531205
Theft by Finding,Good,5.29,David Sedaris,Back Bay Books,0316154733
Seven Pillars of Wisdom: A Triumph,Good,8.29,T.E. Lawrence,Wordsworth Editions,1853264695
Rascal: A Memoir of a Better Era,Good,4.79,Sterling North,Puffin Books,0142402524
Wiseguy,Very Good,11.69,Nicholas Pileggi,Simon & Schuster,1982129905
A Small Place,Good,4.99,Jamaica Kincaid,"Farrar, Straus and Giroux",0374527075
An American Life,Good,6.89,Ronald Reagan,Threshold Editions,1451628390
"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee",Good,5.09,Casey Cep,Vintage,110197205X
"Benjamin Franklin's Autobiography and selections from his other writings, Modern Library 39",Good,4.29,Benjamin Franklin,Penguin Classics,0142437603
With the Old Breed,Good,6.19,Eugene B. Sledge,Presidio Press,0891419195
"84, Charing Cross Road",Good,6.29,Helene Hanff,Penguin Books,0140143505
"Born Again (Colson, Charles)",New,15.81,Charles W. Colson,Chosen Books,0800794591
At Home: A Short History of Private Life,Good,4.59,Bill Bryson,Vintage,0767919394
Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook,Good,4.79,Anthony Bourdain,Ecco Press,0061718955
Out of Africa,Good,6.99,Isak Dinesen,Modern Library,0679600213
Marine Sniper: 93 Confirmed Kills,Good,5.49,Charles Henderson,Berkley Books,0425181650
The Great Santini,Good,4.39,Pat Conroy,Dial Press Trade Paperback,0553381555
"If I Die in a Combat Zone, Box Me Up and Ship Me Home",Good,4.99,Tim O'Brien,Crown Publishing Group (NY),0767904435
Sieben Jahre in Tibet,Good,5.99,Heinrich Harrer,Tarcherperigee,1585427438
My Life on the Road,Very Good,4.99,Gloria Steinem,Random House Publishing Group,0345408160
Autobiography of a Yogi,Good,7.89,Yogananda,Self-Realization Fellowship Publishers,0876120834
Maus. A Survivor's Tale,Acceptable,15.39,Art Spiegelman,Pantheon,0679406417
"Erinnerungen, Träume, Gedanken. Aufgezeichnet und herausgegeben von Aniela Jaffé",Good,11.89,C.G. Jung,Knopf Doubleday Publishing Group,0679723951
The 5000 Year Leap: The 28 Great Ideas That Changed the World,Good,4.59,W. Cleon Skousen,National Center for Constitutional Studies,0880801484
The Snow Leopard,Good,6.09,Peter Matthiessen,Penguin Classics,0143105515
Lyndon Johnson and the American Dream,Good,11.59,Doris Kearns Goodwin,Thomas Dunne Book for St. Martin's Griffin,1250313961
Where Is Joe Merchant?,Good,5.49,Jimmy Buffett,Dey Street Books,0156026996
"I, Tina",Good,5.39,Kurt Loder,Dey Street Books,0061958808
Alan Turing: The Enigma,Good,5.49,Andrew Hodges,Princeton University Press,069116472X
Coming into the Country,Good,5.09,John McPhee,"Farrar, Straus and Giroux",0374522871
At Dawn We Slept: The Untold Story of Pearl Harbor,Good,5.39,Gordon W. Prange,Penguin Books,0140157344
Mary Queen of Scots,Good,5.39,Antonia Fraser,Random House Publishing Group,038531129X
J.R.R. Tolkien: A Biography,Good,7.69,Humphrey Carpenter,William Morrow & Company,0618057021
Our Endangered Values: America's Moral Crisis,Good,4.39,Jimmy Carter,Simon & Schuster,0743285018
Abraham Lincoln: The Prairie Years/The War Years - One Volume Edition,Good,5.99,Carl Sandburg,Clarion Books,0156027526
The Second Ring of Power,Good,10.29,Carlos Castaneda,Washington Square Press,0671732471
Decision Points,Like New,4.99,George W. Bush,Crown Publishing Group (NY),0307590615
American Prometheus,Good,6.89,Kai Bird,Vintage,0375726268
A Severe Mercy,New,14.19,Sheldon Vanauken,HarperOne,B00JLOZTTI
The Anthropocene Reviewed,New,16.39,John Green,Dutton,0525555242
Reminiscences of a Stock Operator,Good,6.79,Edwin Lefèvre,Wiley,0471770884
Crazy Horse and Custer: The Parallel Lives of Two American Warriors,Good,6.29,Stephen E. Ambrose,Anchor Books,0385479662
The Story of the Trapp Family Singers,Acceptable,7.69,Maria Augusta von Trapp,William Morrow & Company,0060005777
"The Devil's Chessboard: Allen Dulles, the CIA, and the Rise of America's Secret Government",New,18.86,David Talbot,Harper Perennial,0062276174
There Is a River: The Story of Edgar Cayce,Very Good,9.69,Thomas Joseph Sugrue,Tarcher,0399172661
The House of Medici: Its Rise and Fall,Good,5.69,Christopher Hibbert,Mariner Books,0688053394
De vita Caesarum,Good,7.19,Suetonius,Penguin Classics,0140455167
"Abandoned Prayers: The Incredible True Story of Murder, Obsession and Amish Secrets",Good,7.09,Gregg Olsen,St. Martin's True Crime,0312982011
The Notebooks of Leonardo Da Vinci,Very Good,8.29,Leonardo da Vinci,Black Dog & Leventhal Publishers,1579129463
Terre des hommes,Good,7.29,Antoine de Saint-Exupéry,Mariner Books Classics,0156027496
Lives of the Saints,Good,10.39,Alban Butler,Tan Books,0895555301
An American Life,Good,6.89,Ronald Reagan,Threshold Editions,1451628390
My God and my all;: The life of St. Francis of Assisi,Very Good,12.69,Elizabeth Goudge,Plough Publishing House,0874866782
"I, Tina",Good,5.39,Kurt Loder,Dey Street Books,0061958808
Mommie Dearest,Good,14.29,Christina Crawford,Open Road Integrated Media LLC,1504057716
"Devotion: An Epic Story of Heroism, Brotherhood and Sacrifice",Good,4.59,Adam Makos,Ballantine Books,0804176604
The Strange Life of Nikola Tesla,Good,8.09,Nikola Tesla,Martino Fine Books,1684222060
Soul On Ice,Good,7.99,Eldridge Cleaver,Delta,038533379X
The Frontiersmen,Good,27.29,Allan W. Eckert,Jesse Stuart Foundation,0945084919
Tracks,Good,5.99,Robyn Davidson,Vintage,0679762876
Saint Francis of Assisi,Good,7.19,G.K. Chesterton,Createspace Independent Publishing Platform,1505532205
Co. Aytch: A Confederate Memoir of the Civil War,Good,7.49,Sam R. Watkins,Turner,1596528400
Il milione,Good,8.99,Marco Polo,Penguin Classics,0140440577
Alan Turing: The Enigma,Good,5.49,Andrew Hodges,Princeton University Press,069116472X
Of Plymouth Plantation,Very Good,7.09,William Bradford,Dover Publications,0486452603
Coal Miner's Daughter,Good,6.09,Loretta Lynn,Grand Central Publishing,1538701715
The Treasured Writings of Kahlil Gibran,Good,12.59,Kahlil Gibran,Castle Books,0785830618
Coming into the Country,Good,5.09,John McPhee,"Farrar, Straus and Giroux",0374522871
Poor Richards Almanack,Good,6.99,Benjamin Franklin,Peter Pauper Press,0880889187
Masters of the Air: America's Bomber Boys Who Fought the Air War Against Nazi Germany,Good,7.69,Donald L. Miller,Simon & Schuster,0743235452
Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West,Good,6.49,Wallace Stegner,Penguin Books,0140159940
Lust for Life,Good,5.49,Irving Stone,Plume Books,0452262496
If Only They Could Talk,Good,13.59,James Herriot,Pan Books,0330518151
"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee",Good,5.09,Casey Cep,Vintage,110197205X
Pimp: The Story of My Life,Good,12.49,Iceberg Slim,Cash Money Content,1451617135
The Great Santini,Good,4.39,Pat Conroy,Dial Press Trade Paperback,0553381555
"If I Die in a Combat Zone, Box Me Up and Ship Me Home",Good,4.99,Tim O'Brien,Crown Publishing Group (NY),0767904435
The Log from the Sea of Cortez,Acceptable,7.79,John Steinbeck,Penguin Classics,0140187448
We Are Witnesses: Five Diaries Of Teenagers Who Died In The Holocaust,Good,5.79,Jacob Boas,Square Fish,0312535678
Revolutionary Suicide,Very Good,13.49,Huey P. Newton,Penguin Classics,0143105329
This House of Sky: Landscapes of a Western Mind,Good,4.79,Ivan Doig,Mariner Books Classics,0156899825
Moses: When Harriet Tubman Led Her People to Freedom,Good,7.19,Carole Boston Weatherford,"Little, Brown Books for Young Readers",0786851759
At Dawn We Slept: The Untold Story of Pearl Harbor,Good,5.39,Gordon W. Prange,Penguin Books,0140157344
Good-bye to All That: An Autobiography,Good,5.39,Robert Graves,Vintage,0385093306
"My Heart is on the Ground: the Diary of Nannie Little Rose, a Sioux Girl",Good,5.19,Ann Rinaldi,Scholastic,0590149229
"Benjamin Franklin's Autobiography and selections from his other writings, Modern Library 39",Good,4.29,Benjamin Franklin,Penguin Classics,0142437603
The Illustrated Lark Rise to Candleford,Acceptable,6.89,Flora Thompson,Penguin Books,0141183314
Run Baby Run,Good,8.69,Nicky Cruz,Bridge-Logos Publishers,161036192X
Failure is not an Option: Mission Control From Mercury to Apollo 13 and Beyond,Good,6.89,Gene Kranz,Simon & Schuster,1439148813
Belles on Their Toes,Good,7.49,Frank B. Gilbreth Jr.,Harper Perennial,0060598239
The Journey of Crazy Horse: A Lakota History,Good,6.99,Joseph M. Marshall III,Penguin Books,0143036211
How to Starve Cancer ...without starving yourself: The Discovery of a Metabolic Cocktail That Could Transform the Lives of Millions,Like New,15.99,Jane McLelland,Agenor Publishing,0951951742
Memoirs of the Second World War,New,22.04,Winston S. Churchill,Harper Paperbacks,0395599687
Diary of an Early American Boy,New,12.87,Eric Sloane,Dover Publications,0486436667
Bartlett's Familiar Quotations,Good,19.09,John Bartlett,Little Brown and Company,0316375306
Fear and Loathing: On the Campaign Trail '72,Good,14.79,Hunter S. Thompson,Simon & Schuster,1451691572
Archimedes and the Door to Science,New,12.96,Jeanne Bendick,Bethlehem Books,1883937124
The House of Medici: Its Rise and Fall,Good,5.69,Christopher Hibbert,Mariner Books,0688053394
"Abandoned Prayers: The Incredible True Story of Murder, Obsession and Amish Secrets",Good,7.09,Gregg Olsen,St. Martin's True Crime,0312982011
Terre des hommes,Good,7.29,Antoine de Saint-Exupéry,Mariner Books Classics,0156027496
Lives of the Saints,Good,10.39,Alban Butler,Tan Books,0895555301
My God and my all;: The life of St. Francis of Assisi,Very Good,12.69,Elizabeth Goudge,Plough Publishing House,0874866782
Soul On Ice,Good,7.99,Eldridge Cleaver,Delta,038533379X
The Frontiersmen,Good,27.29,Allan W. Eckert,Jesse Stuart Foundation,0945084919
Tracks,Good,5.99,Robyn Davidson,Vintage,0679762876
Saint Francis of Assisi,Good,7.19,G.K. Chesterton,Createspace Independent Publishing Platform,1505532205
Co. Aytch: A Confederate Memoir of the Civil War,Good,7.49,Sam R. Watkins,Turner,1596528400
Of Plymouth Plantation,Very Good,7.09,William Bradford,Dover Publications,0486452603
The Treasured Writings of Kahlil Gibran,Good,12.59,Kahlil Gibran,Castle Books,0785830618
Poor Richards Almanack,Good,6.99,Benjamin Franklin,Peter Pauper Press,0880889187
Masters of the Air: America's Bomber Boys Who Fought the Air War Against Nazi Germany,Good,7.69,Donald L. Miller,Simon & Schuster,0743235452
Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West,Good,6.49,Wallace Stegner,Penguin Books,0140159940
If Only They Could Talk,Good,13.59,James Herriot,Pan Books,0330518151
Revolutionary Suicide,Very Good,13.49,Huey P. Newton,Penguin Classics,0143105329
This House of Sky: Landscapes of a Western Mind,Good,4.79,Ivan Doig,Mariner Books Classics,0156899825
Moses: When Harriet Tubman Led Her People to Freedom,Good,7.19,Carole Boston Weatherford,"Little, Brown Books for Young Readers",0786851759
Good-bye to All That: An Autobiography,Good,5.39,Robert Graves,Vintage,0385093306
"My Heart is on the Ground: the Diary of Nannie Little Rose, a Sioux Girl",Good,5.19,Ann Rinaldi,Scholastic,0590149229
The Illustrated Lark Rise to Candleford,Acceptable,6.89,Flora Thompson,Penguin Books,0141183314
Run Baby Run,Good,8.69,Nicky Cruz,Bridge-Logos Publishers,161036192X
Failure is not an Option: Mission Control From Mercury to Apollo 13 and Beyond,Good,6.89,Gene Kranz,Simon & Schuster,1439148813
Belles on Their Toes,Good,7.49,Frank B. Gilbreth Jr.,Harper Perennial,0060598239
How to Starve Cancer ...without starving yourself: The Discovery of a Metabolic Cocktail That Could Transform the Lives of Millions,Like New,15.99,Jane McLelland,Agenor Publishing,0951951742
Diary of an Early American Boy,New,12.87,Eric Sloane,Dover Publications,0486436667
Bartlett's Familiar Quotations,Good,19.09,John Bartlett,Little Brown and Company,0316375306
Going Solo,Good,4.59,Roald Dahl,Viking Books for Young Readers,0142413836
The Glory of Their Times : The Story of Baseball Told By the Men Who Played It,Good,7.29,Lawrence S. Ritter,Harper Perennial,0061994715
Paul Harvey's the Rest of the Story,Good,9.29,Paul Aurandt Jr.,Bantam Books,0553259628
Ben Franklin of Old Philadelphia,Good,4.19,Margaret Cousins,Random House Books for Young Readers,0394849280
Woodswoman I: Living Alone in the Adirondack Wilderness,Good,7.09,Anne LaBastille,Penguin Books,0140153349
The Operator: Firing the Shots that Killed Osama bin Laden and My Years as a SEAL Team Warrior,Very Good,5.79,Robert O'Neill,Scribner Book Company,1501145045
Abraham Lincoln,Acceptable,31.19,Edgar Parin d'Aulaire,Beautiful Feet Books,1893103234
Panzer Commander: The Memoirs of Colonel Hans von Luck,Good,7.29,Hans von Luck,Dell,0440208025
"Behind the Scenes: Or, Thirty Years a Slave, and Four Years in the White House (Schomburg Library of Nineteenth-Century Black Women Writers)",Good,7.29,Elizabeth Keckley,Martino Fine Books,1684221129
Eat Mor Chikin: Inspire More People,Good,5.19,S. Truett Cathy,"Looking Glass Books, Inc",1929619081
Cross Creek,Good,5.99,Marjorie Kinnan Rawlings,Scribner Book Company,0684818795
The boke of Margerie Kempe of Lynn,Good,7.69,Margery Kempe,Penguin Classics,0140432515
How I Play Golf,Good,7.69,Tiger Woods,Grand Central Publishing,0446551678
Inside the Third Reich: Memoirs,Good,13.39,Albert Speer,Simon & Schuster,0684829495
The Demonologist: The Extraordinary Career of Ed and Lorraine Warren,New,12.25,Gerald Brittle,Graymalkin Media,193516922X
"Save Me from Myself: How I Found God, Quit Korn, Kicked Speed, and Lived to Tell the Tale",Good,4.99,Brian Welch,HarperOne,0061431648
Blood in My Eye,New,15.52,George L. Jackson,Black Classic Press,0933121237
Five Days in November,New,25.69,Clint Hill,Gallery Books,1668035758
Baa Baa Black Sheep,Good,4.89,Gregory Boyington,Bantam,0553263501
The Story Of George Washington Carver (Scholastic Biography),Good,5.19,Eva Moore,Scholastic Paperbacks,0590426605
"Speak, Memory",Good,6.49,Vladimir Nabokov,Knopf Doubleday Publishing Group,0679723390
The Tracker,Good,19.89,Tom Brown Jr.,Berkley Books,0425101339
Son,New,17.26,Jack Olsen,Scribner Book Company,1501119044
"The Horse God Built: The Untold Story of Secretariat, the World's Greatest Racehorse",New,16.18,Lawrence Scanlan,St. Martin's Griffin,0312382251
Manchild in the Promised Land,New,16.39,BROWN CLAUDE,Scribner Book Company,145163157X
Fate Is The Hunter,Good,10.29,Ernest K. Gann,Simon & Schuster,0671636030
Crazy Horse: The Strange Man of the Oglalas,Good,8.29,Mari Sandoz,Bison Books,0803217870
Mémoires d'Hadrien,Good,9.89,Marguerite Yourcenar,"Farrar, Straus and Giroux",0374529264
Intellectuals,Very Good,6.39,Paul Johnson,Harper Perennial,0061253170
When Women Were Birds: Fifty-four Variations on Voice,Good,6.49,Terry Tempest Williams,Picador USA,1250024110
Anne Frank Remembered,Good,4.99,Alison Leslie Gold,Simon & Schuster,1416598855
Not Without Laughter,Good,6.89,Langston Hughes,Penguin Classics,0143131869
The Lewis & Clark Expedition,Good,4.99,Richard L. Neuberger,Avyx,1887840397
Sun and Steel,New,21.1,Yukio Mishima,Lyle Stuart,6159424645
Fortune's Children: the Fall of the House of Vanderbilt,Good,5.09,Arthur T. Vanderbilt II,William Morrow & Company,0062224069
Total Recall: My Unbelievably True Life Story,Good,7.49,Arnold Schwarzenegger,Simon & Schuster,1451662440
With God in Russia,Very Good,13.99,Walter J. Ciszek,HarperOne,006264162X
Two in the Far North,Good,12.29,Margaret E. Murie,Alaska Northwest Books,1513262750
The Confessions of Nat Turner,New,17.47,William Styron,Vintage,B001GIS2KA
I Am Ozzy,Good,6.89,Ozzy Osbourne,Grand Central Publishing,0446569909
Second World War: Their Finest Hour,Good,5.79,Winston S. Churchill,Harper Paperbacks,0395410568
Inciting Joy: Essays,Acceptable,8.39,Ross Gay,Algonquin Books,1643753045
The Cheese and the Worms: The Cosmos of a Sixteenth-Century Miller,Good,13.19,Carlo Ginzburg,Johns Hopkins University Press,1421409887
Custer Died for Your Sins: An Indian Manifesto,Good,14.69,Vine Deloria Jr.,University of Oklahoma Press,0806121297
The Value of Believing in Yourself: The Story of Louis Pasteur,Good,5.99,Spencer Johnson,Value Communications,0916392066
Memoirs of General W.T. Sherman (Complete),Acceptable,8.49,William T. Sherman,Penguin Classics,0140437983
Encyclopedia of an Ordinary Life,Good,5.09,Amy Krouse Rosenthal,Crown Publishing Group (NY),1400080460
枕草子 [Makura no sōshi],Good,9.39,Sei Shōnagon,Penguin Classics,0140448063
Witness,Acceptable,17.89,Whittaker Chambers,Regnery History,162157296X
Angela Davis: An Autobiography,Acceptable,8.49,Angela Y. Davis,International Publishers,0717806677
More of Paul Harvey's The Rest of the Story,Good,10.29,Paul Aurandt Jr.,Bantam Books,0553145940
Iron Coffins,Good,11.99,Herbert A. Werner,Grand Central Publishing,030681160X
Kommandant in Auschwitz,Good,8.69,Rudolf Höss,Da Capo,0306806983
"Birds, Beasts and Relatives",Good,6.29,Gerald Durrell,Penguin Books,0142004405
Death in the Long Grass,Good,19.29,Peter Hathaway Capstick,St. Martin's Press,0312186134
"JFK: The CIA, Vietnam and the Plot to Assassinate John F. Kennedy",Good,11.99,L. Fletcher Prouty,Skyhorse Publishing,1616082917
Hollywood Babylon 2,Acceptable,49.79,Kenneth Anger,Plume Books,0452257212
The Reagan Diaries,Very Good,6.49,Ronald Reagan,Harper,006087600X
Dead Man Walking: An Eyewitness Account of the Death Penalty in the United States,Very Good,4.89,Helen Prejean,Vintage,0679751319
You Learn by Living,Good,5.49,Eleanor Roosevelt,Harper Perennial,0062061577
Angel Unaware: A Touching Story of Love and Loss,Good,6.59,Dale Evans Rogers,Revell,0800759311
Crow Killer: The Saga of Liver-Eating Johnson (Midland Book),Good,10.79,Robert Bunker,Indiana University Press,0253020832
The Monk of Mokha,Good,5.39,Dave Eggers,Vintage,1101971444
The Life of Samuel Johnson,Good,7.29,James Boswell,Penguin Group,0140431160
Ranch Life and the Hunting Trail,Good,7.29,Theodore Roosevelt,Bison,0803289138
Anti-Intellectualism in American Life,Like New,15.59,Richard Hofstadter,Vintage,0394703170
Tarantula,Good,12.29,Bob Dylan,Scribner Book Company,0743230418
Bring on the Empty Horses,Very Good,9.89,David Niven,Hodder & Stoughton,0340839953
Confessions of an Advertising Man,Good,13.69,David Ogilvy,Southbank Publishing,190491537X
Arabian Sands,Good,9.69,Wilfred Thesiger,Penguin Group,0141442077
Blood Covenant: The Michael Franzese Story,Good,7.89,Michael Franzese,Whitaker House,1641230207
All My Patients are Under the Bed: Memoirs of a Cat Doctor,Good,4.59,Louis J. Camuti,Touchstone Books,0671554506
The Long Way,Very Good,10.29,Bernard Moitessier,Sheridan House,0924486848
Lords of the Earth,Very Good,17.09,Don Richardson,Bethany House Publishers,0764215604
Einweihung,Good,15.79,Elisabeth Haich,Aurora Press,0943358507
The Greatest Story Ever Told,Good,5.49,Fulton Oursler,Prh Christian Publishing,038508028X
The Score Takes Care of Itself: My Philosophy of Leadership,Good,8.39,Bill   Walsh,Portfolio,1591843472
We Are the Ship: The Story of Negro League Baseball,Good,5.79,Kadir Nelson,"Little, Brown Books for Young Readers",0786808322
Disco Bloodbath: A Fabulous but True Tale of Murder in Clubland,Good,6.09,James St. James,Simon & Schuster,0743259823
Letters to Trump,New,80.97,Donald J Trump,Winning Team Publishing,1735503754
Letters of J.R.R. Tolkien,New,28.3,J.R.R. Tolkien,William Morrow & Company,0358652987
Soledad Brother: The Prison Letters of George Jackson,Acceptable,12.69,George L. Jackson,Lawrence Hill Books,1556522304
The Game,Good,6.99,Ken Dryden,Triumph Books (IL),1600789617
Malcolm X Speaks: Selected Speeches and Statements,Very Good,10.89,Malcolm X,Pathfinder,0873485467
The Thread That Runs So True: A Mountain School Teacher Tells His Story,New,15.74,Jesse Stuart,Touchstone Books,B000O3FIPU
"Keys Of This Blood: The Struggle For World Dominion Between Pope John Paul II, Mikhail Gorbachev & The Capitalist West",Good,6.29,Malachi Martin,Simon & Schuster,0671747231
One Man's Meat,Good,7.39,E.B. White,Tilbury House,0884481921
Vivre avec Picasso,Good,8.59,Carlton Lake,New York Review of Books,168137319X
My American Journey,Very Good,5.79,Colin Powell,Random House Publishing Group,0345466411
Walk This Way: The Autobiography of Aerosmith,Good,4.79,Stephen Davis,Dey Street Books,0062188151
Hill Women,Good,11.89,Cassie Chambers,Ballantine Books,1984818937
Abe Lincoln: Log Cabin to White House,Good,6.19,Sterling North,Random House Books for Young Readers,0394891791
Catch a Fire: The Life of Bob Marley,Good,5.39,Timothy White,Holt Paperbacks,0805080864
Infanterie greift an,Very Good,12.99,Erwin Rommel,Martino Fine Books,168422652X
My Life on the Road,Very Good,4.99,Gloria Steinem,Random House Publishing Group,0345408160
O Come Ye Back to Ireland: Our First Year in County Clare,Acceptable,6.29,Niall Williams,Soho Press,0939149222
God and Man at Yale,Good,24.69,William F. Buckley Jr.,ISI Conservative Classics,089526692X
Man-Eaters of Kumaon,Very Good,11.89,Jim Corbett,Rupa Publications,8129140365
Still Woman Enough,Good,5.49,Loretta Lynn,Da Capo,0786866500
"Pre: The Story of America's Greatest Running Legend, Steve Prefontaine",Good,4.89,Tom Jordan,Rodale Pr,0875964575
Carrying the Fire: An Astronaut's Journeys,Good,8.29,Michael Collins,"Farrar, Straus and Giroux",0374537763
Zelda,Good,6.69,Nancy Milford,Harper Perennial,0062089390
"Dolly Parton, Songteller: My Life in Lyrics",New,36.33,Dolly Parton,Chronicle Books,1797205099
The Phantom Prince: My Life with Ted Bundy,Good,13.59,Elizabeth Kendall,Harry N. Abrams,1419744852
La Relación,Acceptable,6.19,Álvar Núñez Cabeza de Vaca,Dover Publications,0486431800
Blood and Money,Acceptable,8.69,Thomas Thompson,Dell Publishing Company,0440106796
Lauren Bacall: By Myself,Good,5.49,Lauren Bacall,Alfred A. Knopf,0394413083
Speeches and Writings 1859–1865,Good,7.19,Abraham Lincoln,Library of America,0940450631
Georgia O'Keeffe,Acceptable,7.89,Georgia O'Keeffe,Penguin Group,0140046771
No Man Knows My History: The Life of Joseph Smith,Good,15.69,Fawn M. Brodie,Knopf Doubleday Publishing Group,0679730540
The Moon's a Balloon,Good,8.89,David Niven,Penguin UK,0140239243
"My Wicked, Wicked Ways",Very Good,17.39,Errol Flynn,Aurum Press Ltd,1845130499
Grant: A Biography,Good,6.09,William S. McFeely,W. W. Norton & Company,0393323943
Lives of the Saints for Every Day of the Year/No. 870/22 (Lives of the Saints),Good,5.79,Hugo H. Hoever,Catholic Book Publishing,0899428703
Catcher in the Wry,Good,34.29,Bob Uecker,Jove Books,0515078980
Five Patients,Good,7.39,Michael Crichton,Ballantine Books,B000SEQI2M
"Uncommon Therapy: The Psychiatric Techniques of Milton H. Erickson, M.D.",Good,10.19,Jay Haley,W. W. Norton & Company,0393310310
My Autobiography,Acceptable,12.69,Charlie Chaplin,Penguin Group,0141011475
The Habit of Being: Letters of Flannery O'Connor,New,20.14,Flannery O'Connor,"Farrar, Straus and Giroux",0374521042
